application_proccess,company,interview_description,interview_difficulty,interview_experience,interview_questions,job_title,offer_status,review_date
N/A,General Assembly,"It was very friendly but difficult, a lot of questions doesn't belong to industry, but i had a lot of fun, great interviewers. Amazing environment. When i get in they offer me water, tea, coffee and I think it was very nice of them.",Difficult Interview,Negative Experience," Why do you think we should hire you?   ,Answer Question",Teaching Assistant,Accepted Offer," Dec 21, 2017"
The process took 3+ months. I interviewed at General Assembly.,General Assembly,"One of the worst interview processes I have ever participated in. Disorganized, non-communicative and unprofessional. It’s been about a month in between each step with almost zero responses to emails. At one point, the recruiter sent me a rejection email meant for someone else, for an entirely different position. She followed up an hour later saying it was a mistake and that she would check on my status. Heard back about a week later with a rejection, even though I was commended for my in person interview and my successful completion of the task. They went with someone who had a big name law firm on their resume, which they should have disclosed that they wanted that in the ad if that’s what they were looking for, instead of wasting 3 months of my time. If this is how their hiring process works, I can only imagine how dysfunctional their inner workings are. I would avoid GA at all costs.",Easy Interview,Negative Experience," How does your experience relate to the position?   ,Answer Question",Commercial Counsel,No Offer," Dec 11, 2017"
N/A,General Assembly,"Was contacted for a phone interview. After scheduling it, blocking the time and making myself available, never heard anything. Followed up with two emails to reschedule but I never received an answer. At least respect people's time and call if you say you are going to. Or reschedule if something comes up.",N/A,Negative Experience,,Marketing,No Offer," Nov 30, 2017"
"I applied online. The process took 2 weeks. I interviewed at General Assembly (Washington, DC) in November 2017.",General Assembly,"They call you, you have a brief phone interview, they call you in where they ask you generic interview questions. They show you around the ""facilities"" and then show you where all the other ""admissions receptionists"" work. It was literally a room with a bunch of 18- 24 y/o on phones. This job is basically a glorified telemarketer. Please do not be fooled. Worst interview of my life and a total waste of time.",Easy Interview,Negative Experience," Typical and very generic interview questions.,-""Where do you see yourself in 5 years"",-"" What are your greatest professional strengths?"",-""What do you consider to be your weaknesses?""   ,Answer Question","""Admissions Receptionist""",No Offer," Jan 1, 2018"
I applied through a recruiter. The process took 2+ months. I interviewed at General Assembly.,General Assembly,"3 phone interviews, and a task (three questions to which I had to do research and write answers). After submitting the task, I never heard anything. Not even a confirmation that they had received it. I emailed to ask, no response. I emailed 3 more times to confirm receipt of the task and to follow up. Never heard anything back ever.",Average Interview,Negative Experience," What tradeshows should we focus on?   ,1 Answer, How can we use our blog to create a whitepaper?   ,1 Answer, What can we do to reach our audience (c-level, etc.)   ,1 Answer",B2B Marketing Manager,No Offer," Oct 31, 2017"
The process took 2 weeks. I interviewed at General Assembly.,General Assembly,Had a brief phone call with the recruiter and was later given a take-home assignment. I did complete it and returned it in a timely manner but never received any feedback on it from the recruiter. I tried following up multiple times in a month over email but still no response. I simply expected a reply stating either they are still reviewing it or they are not pursuing my application further or some sort of communication. I spent time from my daily work doing to coding exercise so I expected some sort of feedback.,Easy Interview,Negative Experience," Take home coding assignment   ,Answer Question",Software Engineer,No Offer," Oct 5, 2017"
"I applied online. I interviewed at General Assembly (Seattle, WA).",General Assembly,"I applied online for a UX Design Immersion Program. They set you up with a phone interview, followed by an application process which included questionnaires and a project assignment to submit, and lastly an in-person interview.",Easy Interview,Positive Experience," The whole interview process was non-technical and straight-forward. They basically want to see why you are interested in the program and if you are ready to take on the commitment. The questionnaires are very in-depth and will take some time to complete: it will ask you to describe your goals, search for networking events around your area, search for open jobs, etc. The project is presented like a real assignment, and will require you to put in the time and effort to complete: I enjoyed this a lot since I felt like I was able to challenge my creativity and see the outcome of my efforts. For the in-person interview, they go over the submitted project with you and ask you the details of it- why you chose to design it this way, what challenges you encountered, etc., and they will also go over the program in detail. The whole process was pretty casual, but they do make you ""work for it"" in the sense that they not only want to see that you are committed, but to make sure that you yourself are aware of the responsibility and the time commitment this program would take. They were very easy to communicate with, and I was able to have all my questions answered. I also appreciated how honest they were - they emphasized that this program itself will not land you to a high-paying job; It is ultimately up to you and what you put in to it and how effectively you utilize this program. I accepted the offer and will be starting my program late-October!   ,Answer Question",Student,Accepted Offer," Sep 19, 2017"
"I applied online. I interviewed at General Assembly (New York, NY) in September 2017.",General Assembly,"I interviewed by phone. The first person didn't know anything about the field, and the second person was incredibly vague when it came to expectations. The phone interviewers weren't very intelligent and they are conceited.",Easy Interview,Negative Experience," Could you describe your background in data science?   ,Answer Question",Data Science Program,No Offer," Sep 11, 2017"
I applied online. I interviewed at General Assembly.,General Assembly,"1. Screening call with recruiter,2. Call with hiring manager,3. 30 minute VC chats with HRBP, current regional director, peer of hiring manager,I expressed concerns about how many people describe being ""ghosted"" in the interview process; the hiring manager reassured me that contact would be strong and punctual. Unfortunately the recruiter took two weeks to get back to me after round 3; I was invited to interview with their COO but had signed an offer elsewhere the day before.",Easy Interview,Negative Experience," Describe your leadership style   ,Answer Question",Regional Director,Declined Offer," Aug 10, 2017"
I applied through other source. I interviewed at General Assembly in August 2017.,General Assembly,"1) Phone screening 2) 15 Sample teaching 3) then 5 minute teaching,They will contact you email and schedule an interview. The interview is about 30-45 minutes.,The sample teaching is 15 minutes and then re-teach for 5 minutes.",Easy Interview,Negative Experience," They asked about relevant experience on the subject. Then, 15 minute teaching demo.,They said I did a great job, energy etc. Then, they will call me tomorrow regarding start. They havent called me or anything. I politely follow up via email and call.,Just like what other reviews. They are disorganized and waste of time so better not entertain them when they call you.,I wish I had listen to other reviews before deciding to come.   ,Answer Question",Instructor,No Offer," Aug 18, 2017"
I applied online. I interviewed at General Assembly.,General Assembly,"I submitted my resume online, and within a few days someone emailed me asking for a phone interview. We set up a time and she sent my an invite through Zoom for a video interview, not just a phone interview. I wasn't as prepared as I could have but tried my best to answer the questions. However, the end of the interview felt a little rushed as she preemptively told me to email her with any questions, rather than letting me pose them then. She said I'd hear back by the end of next week. It's been several weeks and still haven't heard back about a decision. She was cordial but I felt like my interview wasn't a priority and felt rushed.",Average Interview,Neutral Experience," When was a time you solved a situation with a client/customer that was negative toward me?   ,Answer Question",Front Lines Associate,No Offer," Jun 13, 2017"
"I applied online. I interviewed at General Assembly (Santa Monica, CA) in June 2017.",General Assembly,"15-20 minutes for an initial phone screen with recruiter to determine overall fit,Moved forward for a 30 minute phone interview w/ Admissions Director in Santa Monica Asked to come in for an in-person interview with Admissions Director that was to include a mock sales call",Average Interview,Positive Experience," Tell me about experience you feel is relevant to this position.   ,Answer Question",Admissions Producer,No Offer," Jun 19, 2017"
"I applied through a recruiter. I interviewed at General Assembly (Santa Monica, CA) in June 2017.",General Assembly,"I had a phone screen with a recruiter, then I received a coding challenge and a sample teach lesson. After completing the coding challenge which took about 4-6 hours I waited 3 days for a response. After passing the coding challenge I was instructed to complete a sample lesson on a machine learning topic. I completed that lesson which took about 4 hours. Then I was supposed to schedule a time to give that sample lesson. The initial recruiter who was setting everything up just stopped responding, to phone calls, emails, everything. This was a complete waste of time.",Average Interview,Negative Experience," Build a program to determine malignant or benign cancerous tumors given a csv dataset, and explain each step. Give a sample lesson (15 minutes) on a general machine learning topic.   ,1 Answer",Data Science Instructor,No Offer," Jul 10, 2017"
"I applied online. The process took 2 weeks. I interviewed at General Assembly (Washington, DC) in June 2017.",General Assembly,"The process was fairly prompt from the time I applied in the summer (June 2017). They called me from NY for a phone interview which took no longer than 25 minutes. The following week I went for the in-person interview at their office in Washington DC. Most of the interview consisted of them asking questions about my experience with over the phone sales and how they are different from cold-calling because the students already show interest. Nonetheless I posed as a student to understand their pitch and it seemed like they were more focused with getting people involved in the program and getting a sign up bonus than like, really listening to the needs of the prospective students.",Average Interview,Negative Experience,,Admissions Producer,No Offer," Dec 11, 2017"
"I applied online. I interviewed at General Assembly (San Francisco, CA) in May 2017.",General Assembly,"Started out with an exchange of emails with someone with a horrid response rate, I only got a reply to an email probably a few days after every email. We moved onto a video call which went pretty well, very basic questions. The next week moved on to an in person interview at the campus. I was told I'd get an email about the decision by the end of the week. It's been a few weeks now and no response. A company should at least have the courtesy to inform we're not selected if we haven't, leaving us in the dark is no help.",Average Interview,Negative Experience," what obstacle have you ever faced and what was your action plan to solve it   ,Answer Question",Front Lines Associate,No Offer," Jun 16, 2017"
"I applied online. The process took 2+ weeks. I interviewed at General Assembly (Washington, DC) in April 2017.",General Assembly,There was initial phone interview followed by in-person interview. The whole process took place within two weeks. After the in-person interview there was a code challenge before being admitted to the program.,Easy Interview,Positive Experience," What are your short-term and long-term goals?   ,Answer Question",Web Development Immersive,Accepted Offer," Oct 9, 2017"
"I applied online. The process took 7 weeks. I interviewed at General Assembly (Austin, TX) in March 2017.",General Assembly,"Interviewed with @ 14 people including members of senior management. The company was very disorganized causing the interview process to take 8 weeks including 5 phone interviews, 3 in-person interviews and an in-depth case study presentation. The entire process left a very negative impression especially since there was very little communication from the internal recruiter or the VP. Despite advancing through every round of interviews including the case study and team interviews, GA eventually stated that due to budget issues, they would not be making an offer. No other explanation was given. Be aware of what you're getting into with this startup!",Average Interview,Negative Experience," How would you grow the business in your local market and maintain profit margin goals?   ,1 Answer",Director,No Offer," Oct 2, 2017"
"I applied in-person. I interviewed at General Assembly (San Francisco, CA) in March 2017.",General Assembly,the hiring process was long and we have to wait for knowing the reply from HR. and the interview process was challenging as we have to do some different task.,Difficult Interview,Positive Experience," they gave me a task and asked me to continue the process of design.   ,Answer Question",User Experience Designer,No Offer," Oct 28, 2017"
"I applied online. I interviewed at General Assembly (Atlanta, GA).",General Assembly,"Initially, I was impressed with the HR recruiter's interview style and the questions. The recruiter also explained how GA refrains from asking about your previous salary to do away with bias. The interview went well and was passed on to the hiring manager. The hiring manager was pleasant, and I thought it went well. Fast forward, I was contacted to talk about next steps and when I responded I did not hear back. I contacted the recruiter two additional times (for a total of three times) and never got a response. I am not sure what happened, but it is unfortunate that an otherwise pleasant professional experience did not end that way.",Average Interview,Negative Experience," Give me an example of a time when you overcame a challenge?   ,Answer Question",Training Manager,No Offer," Feb 20, 2017"
"I applied online. The process took 6 days. I interviewed at General Assembly (Washington, DC).",General Assembly,"Applied online and within an hour had an email asking me to schedule a phone screen.,Phone Screen:,-interviewer was late,-interview was short (it seemed like the interviewer wasn't used to interviewing? not a lot of questions.),The next step was a work sample of the daily work.,(writing emails, scheduling, typing test),For all the work I did on it, I never got feedback and communication was spotty.",Easy Interview,Negative Experience," Typical behavior questions   ,Answer Question, Typing Test   ,Answer Question",Student Experience Associate,No Offer," Feb 13, 2017"
"I applied online. The process took 6 weeks. I interviewed at General Assembly (New York, NY) in December 2016.",General Assembly,"The interview process was very thorough, expeditious, and positive overall. I applied online in early December and heard back about scheduling a phone interview with HR the following week. David was very personable and informative over the phone, asking the basics about my work experience and interest int the role/company. Later the same day, I was invited to an in-person interview to meet with a few members of the team the following week. The questions were standard, asking about my relevant experience and the usual situational questions. That went well, so I was asked to come in for another in-person interview to meet with more team members immediately after the new year. I was told that this would be the final step in the process. After that, however, I was asked to come in once more to meet with another person from the team the following week. During this interview, I had to complete a timed assignment and then discuss. This assignment was not difficult, exemplifying some tasks of the role. At the end of that day, David emailed me saying that he had good news, and the following day I received an offer.,David from HR was great - very responsive and detailed with scheduling and updates (minus a few changes with the interviewers, which is understandable). Each person I met was super friendly and handled the interviews professionally. The company has a very fun and cool culture, as well, which was evident throughout the interview process.",Easy Interview,Positive Experience," How have you dealt with a difficult client?   ,Answer Question",Enterprise Team,Accepted Offer," Jan 27, 2017"
I applied in-person. The process took 4+ weeks. I interviewed at General Assembly in November 2016.,General Assembly,The CEO is haughty and obnoxious!!! Run don't walk! Red flag- no HR lead for 10 months-well- what person in their right mind would want to work with such a patronizing self aggrandizing you know what? Ugh,Easy Interview,Negative Experience,,Human Resources Role,No Offer," Nov 16, 2016"
N/A,General Assembly,"I received an email expressing interest in my application and asking for good times to set up a phone call. After responding I never heard back, and tried emailing two more times (politely, after about a week) before giving up. Extremely unprofessional to get ""ghosted"" by a company.",N/A,Negative Experience,,Manager,No Offer," Oct 19, 2016"
N/A,General Assembly,"A few days after applying, I was contacted by a recruiter and asked to share some times I would be available for a phone call. I provided my availability and never heard back, even after I wrote the recruiter a couple of follow-up emails. Disappointing.",N/A,Negative Experience,,Marketing,No Offer," Sep 17, 2016"
"I applied online. The process took 3 weeks. I interviewed at General Assembly (New York, NY) in September 2016.",General Assembly,"I applied on General Assembly website for the Part Time Data Science Instructor role. A couple of weeks later I was reached out to from a recruiter.,Recruiter is not organized:,First we planned to speak on Wednesday. Then that didn’t fall through due to her implications. So, we scheduled to speak the next day.,That day the same issues occurred again. It seems that she had forgotten to call me. Later I reached out to her stating that I would be free to speak the next week.,Again, she didn’t call me due to her being stuck in a meeting. So, this time she made a time and called me but I never confirmed to it which was not my fault. Super unprofessional.,So, we made another appointment to call for the fourth time and she forgot to call me. I literally had to remind her by email that I was available to speak.,After I finally spoke to her she said that I was good for the next steps in setting me up that same week. I didn’t receive a date on when I should show up for a face interview. I followed up via email on three occasions and she seemed to have ghosted for the planet. Super unprofessional. Why would you tell me that I would be good in getting the position and not even have the decency to email me back. Very unprofessional.",Easy Interview,Negative Experience," General questions like my background. How many students I have taught. A walk-through on how I explain terminologies.   ,Answer Question",Part Time Data Science Instructor,No Offer," Oct 22, 2016"
"I applied online. The process took a week. I interviewed at General Assembly (Dallas, TX) in September 2016.",General Assembly,"There was a phone interview with HR and a follow up webcam interview with an additional employee there. After receiving positive feedback, in addition to follow-up emails saying they still had me in mind, I was completely ""ghosted,"" even after sending further follow-up emails. This company is a complete scam, and as someone intimately involved in the Dallas startup scene for technology, I didn't have a choice but to recommend to my associations that we ""blacklist"" GA for expanding to this area. If they treat applicants, especially those who have basically already done their recruitment work for them, we cannot fathom how they will treat students in this area. This was an extremely disrespectful experience and a complete waste of time on both of our ends.,I hate to see an unprofessional company like this moving into our startup area to simply take advantage of students, without providing them with any jobs or official credentials. Avoid at all costs. To those who have landed interviews, particularly within the DFW area: STAY AWAY from General Assembly. Their HR refused to even respond to multiple follow up emails (I'm sure their excuse would be ""we're busy.""). I have NEVER been so blatantly ""ghosted"" by a professional education firm, and have warned all my past students at A&M, Texas Tech, as well as those now within the UT system what a waste of time this firm is. I hope to see them leave the area soon, as they will undoubtedly treat their students with the same lack of respect as applicants. I've dealt with hundreds of HR reps over the last few years, and these were BY FAR the least professional. I want to personally thank GA for wasting all my time and effort. The assignment they gave me was NOT fun and I know see as a total scam to save them money. Again, AVOID GA. See interview questions for the work I wasted my time on.",Difficult Interview,Negative Experience," After the webcam interview, I was sent an assignment and given several days to work on it. It consisted of constructing a PowerPoint about what strategies would be used to generate more students.   ,1 Answer",City Lead,No Offer," Dec 18, 2016"
"I applied through a recruiter. The process took 3 days. I interviewed at General Assembly (Dallas, TX) in August 2016.",General Assembly,"They saw my resume online and the hiring team contacted me . They asked questions about my resume and all answers were given. They really liked my profile and decided to move forward. They sent a dataset for me to work on by building a model. I did and sent it over within 72hrs. Their Data science team said I am the right candidate for the job. At the second stage, they sent another data containing KNOWLEDGE CHECK submitted within 72hrs, I did and they said I passed. Now the third stage was TEACHING , I design a course on Decision Trees and delivered the teaching via hangout and later they told me : I DO NOT HAVE MANAGERIAL TECHNICAL EXPERIENCE. I was disappointed in the tedious process they took me through and later gave such a stupid response, after wasting 3days of my time. I would not advice anyone to go through this long process and later get disappointment.",Easy Interview,Negative Experience," This should be completed in no more than 3 hours.,1. When would I use a Python dictionary to store data, instead of another data structure?,Python Dictionary can be used to store data when the data consist of key-value pairs . It also helps in data lookups.,2. When writing Python code, why would you write a function?,Functions are define for the purposes of computations and code re-usability,3. I have a Python list named mylist. What is the difference between `sorted(mylist)` and `mylist.sort()`?,With sorted(mylist) : Return a new list containing all items from the iterable in ascending order.,And with mylist.sort() : Returns None because it is not iterable.,4. I have a Pandas DataFrame named users. One of the Series is named age. I run this code: `users[users.age > 25]`. What does this code return, and how does it ""work""?,The code selects the ages column and filter out all ages greater than 25 based on the users DataFrame object.,5. What is the difference between a bar plot and a histogram?,Histogram shows the distributions of some variables whiles bar plot is used to compare variables with respect to a certain descriptive statistics.,6. What is the difference between regression and classification problems, and how can you convert a regression problem into a classification problem?,Regression problem is the one that predicts some continuous variable whiles classification problem is the one that predicts some binary or multi-class variable. You can convert a regression problem into a classification problem by adding a binary or multi-class response variable to the independent variables. But if you decide not to add a binary or multi-class response variable you can apply clustering technique like Kmeans on the data to make it a classification problem.,7. When Netflix predicts the number of stars that you will use to rate a movie, are they solving a regression or classification problem?,They are solving a classification problem since the ratings are in the range of 1-5 stars.,8. What's wrong with training and testing a machine learning model on the same data?,It is important not to test the prediction of an estimator on the data used to fit the estimator as this would not be evaluating the performance of the estimator on new data. This is why datasets are often split into train and test data.,9. What is the purpose of model evaluation procedures that ""hold out"" data, like train/test split and cross-validation?,The purpose of the “hold out” like train/test split is used to prevent the introduction of bias into the model and hence Over-Fitting.,10. What are a few metrics (single numbers) I might use to evaluate how well a regression model is doing?,R-Square, Mean Absolute Error (MAE), Mean Squared Error (MSE), Median Absolute Error,11. Why is a confusion matrix useful for evaluating the performance of a classifier?,The diagonal elements represent the number of points for which the predicted label is equal to the true label, while off-diagonal elements are those that are mislabeled by the classifier. The higher the diagonal values of the confusion matrix the better, indicating many correct predictions. It also helps to determine the True positives, False Negative, True Negative etc.,12. I built a machine learning model to solve a binary classification problem. The accuracy of my classifier is 99%, and the AUC is 0.51. Is my model doing well? Why or why not?,The model is not doing well because the AUC is about 0.51, which means that the classifier is not able to differentiate between the labels, hence a random classifier. The higher the AUC, the better the model and vice versa. However, the AUC is computed with the prediction scores specified as a parameter in the AUC method.,13. With regard to machine learning models, why should I care the about bias-variance trade-off?,We should care because bias introduces under-fitting into the model whiles variance introduces over-fitting into the model, so we need to worry about this issue so that our model can generalize well to unseen data.,14. How does regularization reduce overfitting?,Regularization reduce over-fitting by penalizing the parameters in the model as a result of using L1 or L2 penalty regularization terms. When we add a regularization term to the loss function, we shrink the weights a little, increasing the bias while reducing variance.,15. What are a few advantages and disadvantages of decision trees, as compared to other machine learning models?,Advantages of Decision Trees:,Disadvantages of Decision Trees:   ,1 Answer",Data Scientist Tutor,No Offer," Oct 14, 2016"
I applied online. The process took 2 days. I interviewed at General Assembly.,General Assembly,"Applied online, the next day I got a very friendly email about how excited they were to talk to me. The phone interview was dead cold. The guy wasn't interested at all in what I had to say, and sounded bored. He had one word answers to my questions and didn't seem to care about my answers to his questions. He clearly hated his job, and wasn't in the mood to talk to anyone, I felt like I was wasting his time.,I had another offer that I was holding off on accepting because I really love GA as a company - I'm a former student, and GA was my first choice. I accepted the other offer as soon as I hung up the phone, because this guy totally turned me off. Why would I want to work at a place that clearly crushed this guy's spirit? GA, do something to make your recruiters happier because I'm sure I'm not the only prospective talent that has been repelled by your staff.",Easy Interview,Negative Experience," What percentage of your experience has been B2B vs B2C?   ,Answer Question",Marketing,No Offer," Jun 10, 2016"
"I applied online. The process took 2 weeks. I interviewed at General Assembly (New York, NY).",General Assembly,"First round interview with recruiter was on my resume and general product management questions. The 2nd round had me perform a product task where I had to suggest 3-5 topics for the next course.,In general the process went quickly with only a few days between rounds. However, I feel that asking someone to spend ""no more than 3 days"" on the task is asking for a lot if you may eventually not extend an offer afterwards.",Difficult Interview,Negative Experience," Define 4-6 success metrics for any course.,Devise a process to determine the next course.,Suggest 3-5 topics for the next course.   ,Answer Question","Senior Product Manager, Education",No Offer," May 31, 2016"
I applied online. The process took 3 weeks. I interviewed at General Assembly.,General Assembly,"The process took about 3 weeks and started with the hiring manager reaching out requested an interview about a day after I applied online. I interviewed with 4 different people, including team members from their HQ in NYC. Typical interview questions were asked about my experience and motivation to apply, as well as behavioral based interview questions specific to the Career Coach role. The final step was to present a sample lesson on job placement and provide a sample email response to a student.",Average Interview,Positive Experience," What if you had a student that had completed our program 2 weeks ago and they were frustrated that they didn't have a job offer yet. How would you handle that conversation? What advice would you give that graduate?   ,Answer Question",Career Coach,Accepted Offer," Jun 1, 2016"
"I applied in-person. The process took a week. I interviewed at General Assembly (Seattle, WA) in June 2016.",General Assembly,I had previously been involved in the UXDI Program. I was called and had a discussion with the Instructor Representative at the time to see what I was able to offer in this position. I was asked in to interview with a panel consisting of various job titles. I gave a sample teach that I had prepared and was given immediate feedback on my performance. Later I received an offer.,Average Interview,Positive Experience," How do you view leadership in a classroom?   ,Answer Question",User Experience Design Immersive Instructor,Accepted Offer," Feb 9, 2017"
I applied online. The process took 1+ week. I interviewed at General Assembly.,General Assembly,One phone interview with the hiring manager. The questions were standard (about the previous experience and motivation behind the application). There were some competency based questions (based on the job responsibilities).,Easy Interview,Neutral Experience," Questions about previos experience   ,Answer Question",Support Role,No Offer," May 23, 2016"
"I applied online. The process took 2 weeks. I interviewed at General Assembly (New York, NY) in May 2016.",General Assembly,"Pretty straightforward interview process and questions. Phone screen with someone from HR then a phone interview with who would become my manager during the internship. Asked typical questions like teamwork experiences, leadership experiences, why GA. Do some research on the company beforehand.",Easy Interview,Positive Experience," What do you already know about General Assembly   ,Answer Question",Intern,Accepted Offer," Oct 24, 2016"
"I applied online. The process took 3 weeks. I interviewed at General Assembly (New York, NY) in May 2016.",General Assembly,"I applied online.The process took 3 weeks. I got contacted by the in-house recruiter/coordinator, who is very sweet and helpful, for background check and salary expectation. Then I was assigned to finish a preliminary design exercise, for which I conducted initial user testing and drafted a design proposal. A few days later I had phone screen with the senior designer to discuss UX skills. Thankfully I was ask to do onsite whiteboard challenge. During the whiteboard session, I was not the only one who is drawing and talking. The lead designer participated and came off being a little bossy, distracting and disruptive. When I started with my thinking process, he dragged me into his process, which leans towards the finishing line. I don’t want to be disrespectful and address him to step down. But I really had a hard time to concentrate and follow my pace. Overall, It's fun design exercise.,After the whiteboard challenge, I have met with the marketing team. They are very nice people. The conversation was amicable. They showed me something they have worked on, asked me for opinions. I told them what I would do with the subject. They said that was exactly what they did and ask me for more approaches. This question caught me off guard. My other answer didn't come off as good as they expected.,There were definitely some bumpy questions in the interviews. This experience requires the ability to make immediate response, adapt the team's ideas and build on them.",Average Interview,Positive Experience," What metrics you use to measure the success or effectiveness of your design? What you wish you have done better in your past experience?   ,Answer Question",Product Designer,No Offer," Jun 1, 2016"
"I applied online. The process took 6+ months. I interviewed at General Assembly (San Francisco, CA) in May 2016.",General Assembly,"Submitted a resume 6 months ago and I was placed into their pool. After that time I was asked if I was interested. Had a phone conversation about my background, knowledge level, and experience in teaching/coaching mentoring. Was asked to come in and do a 20 minute sample teaching segment. Given a verbal offer once that was done.",Average Interview,Neutral Experience," How do you manage a classroom? How do you deal with 18 students understanding a concept, but 2 not? Do you leave them behind or assign new resources?   ,Answer Question",Instructor,Accepted Offer," Jun 24, 2016"
I applied online. The process took 4+ weeks. I interviewed at General Assembly in April 2016.,General Assembly,"I had a really positive interaction with the company regarding the position. I enjoyed the interview process and liked and respected the team members. I enjoyed meeting the hiring manager and they gave very clear guidelines about the position. I found the interviews to be challenging, but in a way that made me respect the team and company.,I did find the interview process to be unnecessarily lengthy for the role. My fourth round interview consisted of meeting many team members over a duration of a few hours - which was a large time investment for an applicant without any communication as to how many more rounds there would be, or how serious the team was.,I've put my feedback as 'neutral' rather than positive, due to what I considered a slightly rude (and misspelled, both my name and in the text of the body) email from HR notifying me that they would not be moving forward with my candidacy, without any further explanation or feedback. While I respect the company's decision, I was frankly surprised with the tone of the email after investing hours into their interview process. It did not ultimately leave me with the best impression of the team.",Average Interview,Neutral Experience," How would you design a learning experience for yourself?   ,Answer Question",Enterprise Team,No Offer," May 4, 2016"
"I applied online. The process took 4+ weeks. I interviewed at General Assembly (San Francisco, CA) in April 2016.",General Assembly,"Immediately received interest within one day after sending resume and cover letter. It was difficult to schedule an initial phone interview and email communication with hiring associate was spotty at best.,Interview went well and I was told that I'd receive a second interview with someone who was coming back from vacation. It never happened, even after modest email follow up. Very unprofessional.",Average Interview,Neutral Experience," What are four areas where you would help students with their portfolios and job search?   ,Answer Question",Technical Career Coach,No Offer," May 12, 2016"
"I applied online. The process took 5+ weeks. I interviewed at General Assembly (New York, NY) in April 2016.",General Assembly,"Interview was several rounds. First a short phone interview to gauge interest, then a work sample that proposed various scenarios related to the job. Finally, I had another interview via video conference with another Producer and two instructors.,After this, I literally did not hear back AT ALL from the contact I was communicating with. This is super unprofessional to leave someone hanging like that. Overall, the process ended up being a waste of time and energy.",Average Interview,Negative Experience," How do you think working with adult learners might be challenging? What skills do you have that would make you the idea person for this role?   ,Answer Question",Education Program Producer,No Offer," Feb 10, 2017"
